id,question_type,category,question,option_a,option_b,option_c,option_d,correct_option,correct_answer,explanation,source
1,single_choice,Systemy motywacji,Elastyczne zatrudnienie oraz duża partycypacja finansowa pracownika w wynikach przedsiębiorstwa są charakterystyczne w modelu:,agresywnym,równościowym,solidarnościowym,,A,agresywnym,,systemy-motywacji.docx
2,single_choice,Systemy motywacji,Fakultatywne elementy wynagrodzenia to:,"dodatki funkcyjne i stażowe, za szkodliwe warunki pracy, za szczególne umiejętności, zmianowy.","wynagrodzenia zasadnicze, premie, nagrody, nadwyżki akordowe, za pracę w nocy, za godziny nadliczbowe","premie, nagrody, wynagrodzenia za pracę w nocy, za godziny nadliczbowe, dodatki funkcyjne i stażowe, za szkodliwe warunki pracy, za szczególne umiejętności.",,A,"dodatki funkcyjne i stażowe, za szkodliwe warunki pracy, za szczególne umiejętności, zmianowy.",,systemy-motywacji.docx
3,single_choice,Systemy motywacji,Wynagrodzenia podstawowe dzielą się na:,"wynagrodzenie zasadnicze dodatki stałe i przejściowe, premie uznaniowe i regulaminowe?","wynagrodzenia zasadnicze, nagrody jubileuszowe, agencyjno-prowizyjne","nagrody jubileuszowe, dodatki wyrównawcze, zasiłki chorobowe",,A,"wynagrodzenie zasadnicze dodatki stałe i przejściowe, premie uznaniowe i regulaminowe?",,systemy-motywacji.docx
4,single_choice,Systemy motywacji,Która odpowiedź jest prawdziwa: Podstawowa zasada teorii oczekiwań brzmi:,utrzymanie częstych i dobrych relacji w pracy spełnia oczekiwania potrzeb przynależności,"motywacja jest funkcją jaką przypisuje się oczekiwanej nagrodzie i postrzeganiu pracownika, że jego wysiłek doprowadzi do uzyskania tej nagrody","zrozumienie co motywuje pracownika jest trudne, bowiem ludzie mają różne oczekiwania",działania ludzi mają charakter nawykowy i za powtarzające się czynności oczekują oni właściwej nagrody,B,"motywacja jest funkcją jaką przypisuje się oczekiwanej nagrodzie i postrzeganiu pracownika, że jego wysiłek doprowadzi do uzyskania tej nagrody",,systemy-motywacji.docx
5,single_choice,Systemy motywacji,"W odniesieniu do cyklu rozwoju przedsiębiorstwa, premie, prowizje i nagrody, mają największy wpływ na pracownika w fazie:",wzrostu i dojrzałości przedsiębiorstwa,"startu, wzrostu, dojrzałości przedsiębiorstwa",startu i dojrzałości przedsiębiorstwa,,A,wzrostu i dojrzałości przedsiębiorstwa,,systemy-motywacji.docx
6,single_choice,Systemy motywacji,Fundusz premiowy w obszarze logistyki opisują następujące wskaźniki:,"utrzymanie odpowiedniego poziomu sprzedaży, poszerzenia rynku zbytu, kształtowanie marż pokrycia utrzymanie odpowiedniego poziomu cyklu zapasów i należności","wprowadzenie nowych produktów, terminowa realizacja modernizacji produkcji","utrzymanie wskaźników rotacji zapasów, minimalizacja kosztów zakupu materiałów, struktura zapasów, koszt zapasów.",,C,"utrzymanie wskaźników rotacji zapasów, minimalizacja kosztów zakupu materiałów, struktura zapasów, koszt zapasów.",,systemy-motywacji.docx
7,single_choice,Systemy motywacji,Gainsharing to:,program polegający na udzieleniu pomocy oraz wsparcia zwalnianym pracownikom w poszukiwaniu nowych możliwości zatrudnienia,wyodrębnienie obszarów działalności kadrowej przedsiębiorstwa poprzez zlecenie jej zadań na zewnątrz,"udział pracowników w osiąganych przez nich korzyściach, z reguły oparte na wzroście efektywności pracy lub obniżce kosztów.",,C,"udział pracowników w osiąganych przez nich korzyściach, z reguły oparte na wzroście efektywności pracy lub obniżce kosztów.",,systemy-motywacji.docx
8,single_choice,Systemy motywacji,Do społeczno- zawodowych motywatorów wewnętrznych zaliczamy:,przetrwanie i bezpieczeństwo jednostki,"systemu wynagradzania, wysokość zarobków i jakość życia","moralne, osiągnięć, uznania, rozwoju i władzy.",,C,"moralne, osiągnięć, uznania, rozwoju i władzy.",,systemy-motywacji.docx
9,single_choice,Systemy motywacji,Do krótkoterminowych bodźców motywacyjnych zaliczamy:,"szkolenia, premie, prowizje, nagrody","bodźce własnościowe,oszczędnościowe i ubezpieczeniowe",,,A,"szkolenia, premie, prowizje, nagrody",,systemy-motywacji.docx
10,single_choice,Systemy motywacji,Teoria sprawiedliwości:,"opiera się na założeniu, że ludzie mają tendencję do porównywania się z innymi w odniesieniu do czasu, kompetencji oraz zaangażowania w pracę.","udowadnia, że dla szeregowych pracowników poczucie sprawiedliwości jest nieistotne","twierdzi, że pracownicy będą zawsze niezadowoleni oczekując na wyższe nagrody",nakazuje kierownikom stosowanie równych dla każdego pracownika nagród,A,"opiera się na założeniu, że ludzie mają tendencję do porównywania się z innymi w odniesieniu do czasu, kompetencji oraz zaangażowania w pracę.",,systemy-motywacji.docx
11,single_choice,Systemy motywacji,Akcje wirtualne oraz jednostki osiągnięć to:,"długoterminowe bodźce finansowe, polegające na lokowaniu środków pracowników na wyznaczonych do tego celu rachunkach oszczędnościowych",rodzaje pracowniczych programów emerytalnych,"bodźce długoterminowe, polegające na gratyfikacji pracowników, bez przenoszenia prawa własności",,C,"bodźce długoterminowe, polegające na gratyfikacji pracowników, bez przenoszenia prawa własności",,systemy-motywacji.docx
12,single_choice,Systemy motywacji,"premiowania zapisano: “Premia przysługuje pracownikowi za należyte wykonywanie obowiązków pracowniczych. Oceny należytego wykonania obowiązków pracowniczych dokonuje bezpośredni przełożony pracownika. O przyznaniu premii i jej wysokości decyduje pracodawca.” Taki zapis świadczy, że pracownikowi przysługuje:",premia,nagroda,,,A,premia,,systemy-motywacji.docx
13,single_choice,Systemy motywacji,Skuteczne premiowanie powinno się opierać na następujących zasadach:,premia powinna być dominującym składnikiem wynagrodzenia,premie powinny mieć charakter pozytywny,premie powinny mieć charakter stały,,B,premie powinny mieć charakter pozytywny,,systemy-motywacji.docx
14,single_choice,Systemy motywacji,Płaca godziwa wiąże się z:,"ustaleniem nieprzekraczalnego minimum płacowego za pracę najemną, które ma zapobiegać obniżaniu kosztów poprzez zaniżanie płac",ustalanym ustawowo na terytorium Polski określonym jej poziomem w drodze negocjacji z partnerami społecznymi,"ekonomicznym minimum potrzebnym do utrzymania pracownika i jego rodziny, a także odpowiednim uczestnictwem człowieka w życiu organizacyjnym oraz społecznym",,C,"ekonomicznym minimum potrzebnym do utrzymania pracownika i jego rodziny, a także odpowiednim uczestnictwem człowieka w życiu organizacyjnym oraz społecznym",,systemy-motywacji.docx
15,single_choice,Systemy motywacji,"Tożsamość organizacji, uczestnictwo, kompetencje, podział premii, atmosfera współpracy to elementy:",Planu Ruckera,Planu Scanlona,Planu Improshare,,B,Planu Scanlona,,systemy-motywacji.docx
16,single_choice,Systemy motywacji,Płaca uzależniona od udziału pracownika w wypracowanych efektach finansowych firmy to płaca:,prowizyjna,bonusowa,tzw. dniówka zadaniowa,akordowa,A,prowizyjna,,systemy-motywacji.docx
17,single_choice,Systemy motywacji,Strategia dyferencjacji wynagrodzeń nie jest ukierunkowana na:,"oszczędność wynagrodzeń stałych oraz premiowanie za obniżkę kosztów, oszczędność kosztów",konkurowanie wysoką jakością - w strukturze wynagrodzeń większą część stanowią wynagrodzenia zmienne i wynagrodzenia długoterminowe,,,A,"oszczędność wynagrodzeń stałych oraz premiowanie za obniżkę kosztów, oszczędność kosztów",,systemy-motywacji.docx
18,single_choice,Systemy motywacji,Prawo do wypłaty różnicy przy wzroście wartości akcji to:,Stock Option Plan (Plany Opcji na akcję),Restricted Stock Plan,Stock Appreciation Right Plans,Performance Share Plans,C,Stock Appreciation Right Plans,,systemy-motywacji.docx
19,single_choice,Systemy motywacji,Największy wpływ na przyciąganie pracowników do pracy mają:,"bodźce długoterminowe, udziały w zyskach i wynagrodzenia kafeteryjne",wynagrodzenia ruchome zależne od efektów pracy,"zasadnicze stawki płac ustalane za pomocą wartościowania pracy, wynagrodzenie ruchome zależne od efektów pracy i świadczenia dodatkowe",,C,"zasadnicze stawki płac ustalane za pomocą wartościowania pracy, wynagrodzenie ruchome zależne od efektów pracy i świadczenia dodatkowe",,systemy-motywacji.docx
20,single_choice,Systemy motywacji,Regulamin wynagrodzenia:,"obowiązuje pracodawców, którzy zatrudniają co najmniej 20 pracowników objętych układem zbiorowym pracy","obowiązuje pracodawców, którzy zatrudniają co najmniej 20 pracowników nie objętych układem zbiorowym pracy(jeżeli 50 to musi być zapisana premia w regulaminie)",nie ma określonej prawnie ilości pracowników - tworzenie regulaminu zależy wyłącznie od pracodawcy,"obowiązuje pracodawców, którzy zatrudniają co najmniej 50 pracowników objętych układem zbiorowym pracy",B,"obowiązuje pracodawców, którzy zatrudniają co najmniej 20 pracowników nie objętych układem zbiorowym pracy(jeżeli 50 to musi być zapisana premia w regulaminie)",,systemy-motywacji.docx
