nr,pytanie,A,B,C,D,odpowiedz,uwagi
1,"Wielkość informująca, jaka część przychodów pozostaje do dyspozycji podmiotu, po pokryciu kosztów zmiennych, na pokrycie kosztów stałych i pożądanego zysku, to:","marża brutto","stopa marży brutto","","","A",""
2,"Niski poziom wskaźnika obrotowości należności informuje o tym, że podmiot zbyt długo kredytuje swoich odbiorców:","Tak","Nie","","","A",""
3,"Analiza mająca za zadanie sprawdzać strukturę kapitału (pasywów) pod kątem zdolności przedsiębiorstwa do regulowania zobowiązań zwłaszcza długoterminowych, to:","analiza płynności","analiza wypłacalności","","","B",""
4,"Zbyt wysoka wartość wskaźnika ogólnego zadłużenia świadczy o dużym ryzyku finansowym, informując jednocześnie, że przedsiębiorstwo może utracić zdolność do zwrotu długów:","Tak","Nie","","","A",""
5,"Dominacja kosztów niezależnych od rozmiarów produkcji sprawia, iż tempo zmian kosztów całkowitych jest:","wyraźnie wolniejsze od tempa zmian wielkości sprzedaży","wyraźnie szybsze od tempa zmian wielkości sprzedaży","","","A",""
6,"Ze względu na rolę jaką odgrywa kapitał produkcyjny w działalności wytwórczej, dzieli się go na:","kapitał obrotowy i kapitał trwały","Kapitał stały i kapitał zmienny","","","A",""
7,"Przedsiębiorstwo wypracowuje ekonomiczną wartość dodaną, jeżeli rentowność kapitału jest:","mniejsza od średniego ważonego kosztu kapitału","większa od średniego ważonego kosztu kapitału","","","B",""
8,"Modele predykcji bankructwa wykorzystują:","Pozytywną teorię bankructwa","Normatywną teorię bankructwa","","","A",""
9,"Metodę funkcjonalną, kompleksową i decyzyjną wyróżnia się z punktu widzenia:","przeznaczenia","metody badań","przedmiotu","szczegółowości","A",""
10,"Metody polegające głównie na opisie dynamiki szeregów czasowych, wyrażonych za pomocą wskaźników lub przedstawionych w formie graficznej, to:","metody jakościowe analizy","metody ilościowe analizy","","","B",""
11,"Zasada, że kapitał nie powinien być dłużej czasowo związany ze składnikami majątku niż wynosi okres jego pozostawania w przedsiębiorstwie, to:","złota zasada finansowa","złota zasada bilansowa","","","A",""
